RowID,OrderID,OrderDate,ShipDate,CustomerID,ProductID,PostalCodeID,ShipModeID,Sales,Quantity,Discount,Profit
27,CA-2016-121755,16/01/2016,20/01/2016,EH-13945,TEC-AC-10003027-1-1,520,3,90.57,3,0,11.7741
28,US-2015-150630,17/09/2015,21/09/2015,TB-21520,FUR-BO-10004834-1-1,82,4,3083.43,7,0.5,-1665.0522
29,US-2015-150630,17/09/2015,21/09/2015,TB-21520,OFF-BI-10000474-1-1,82,4,9.618,2,0.7,-7.0532
30,US-2015-150630,17/09/2015,21/09/2015,TB-21520,FUR-FU-10004848-1-1,82,4,124.2,3,0.2,15.525
31,US-2015-150630,17/09/2015,21/09/2015,TB-21520,OFF-EN-10001509-1-1,82,4,3.264,2,0.2,1.1016
32,US-2015-150630,17/09/2015,21/09/2015,TB-21520,OFF-AR-10004042-1-1,82,4,86.304,6,0.2,9.7092
33,US-2015-150630,17/09/2015,21/09/2015,TB-21520,OFF-BI-10001525-1-1,82,4,6.858,6,0.7,-5.715
34,US-2015-150630,17/09/2015,21/09/2015,TB-21520,OFF-AR-10001683-1-1,82,4,15.76,2,0.2,3.546
35,CA-2017-107727,19/10/2017,23/10/2017,MA-17560,OFF-PA-10000249-3-1,426,3,29.472,3,0.2,9.9468
36,CA-2016-117590,08/12/2016,10/12/2016,GH-14485,TEC-PH-10004977-2-1,407,1,1097.544,7,0.2,123.4737
37,CA-2016-117590,08/12/2016,10/12/2016,GH-14485,FUR-FU-10003664-2-1,407,1,190.92,5,0.6,-147.963
38,CA-2015-117415,27/12/2015,31/12/2015,SN-20710,OFF-EN-10002986-3-1,424,4,113.328,9,0.2,35.415
39,CA-2015-117415,27/12/2015,31/12/2015,SN-20710,FUR-BO-10002545-3-1,424,4,532.3992,3,0.32,-46.9764
40,CA-2015-117415,27/12/2015,31/12/2015,SN-20710,FUR-CH-10004218-3-1,424,4,212.058,3,0.3,-15.147
41,CA-2015-117415,27/12/2015,31/12/2015,SN-20710,TEC-PH-10000486-3-1,424,4,371.168,4,0.2,41.7564
42,CA-2017-120999,10/09/2017,15/09/2017,LC-16930,TEC-PH-10004093-2-1,345,4,147.168,4,0.2,16.5564
43,CA-2016-101343,17/07/2016,22/07/2016,RA-19885,OFF-ST-10003479-2-1,520,4,77.88,2,0,3.894
44,CA-2017-139619,19/09/2017,23/09/2017,ES-14080,OFF-ST-10003282-2-1,157,4,95.616,2,0.2,9.5616
45,CA-2016-118255,11/03/2016,13/03/2016,ON-18715,TEC-AC-10000171-2-1,306,1,45.98,2,0,19.7714
46,CA-2016-118255,11/03/2016,13/03/2016,ON-18715,OFF-BI-10003291-2-1,306,1,17.46,2,0,8.2062
47,CA-2014-146703,20/10/2014,25/10/2014,PO-18865,OFF-ST-10001713-1-1,266,3,211.96,4,0,8.4784
48,CA-2016-169194,20/06/2016,25/06/2016,LH-16900,TEC-AC-10002167-1-1,87,4,45,3,0,4.95
49,CA-2016-169194,20/06/2016,25/06/2016,LH-16900,TEC-PH-10003988-1-1,87,4,21.8,2,0,6.104
50,CA-2015-115742,18/04/2015,22/04/2015,DP-13000,OFF-BI-10004410-1-1,252,4,38.22,6,0,17.9634
51,CA-2015-115742,18/04/2015,22/04/2015,DP-13000,OFF-LA-10002762-1-1,252,4,75.18,6,0,35.3346
52,CA-2015-115742,18/04/2015,22/04/2015,DP-13000,FUR-FU-10001706-1-1,252,4,6.16,2,0,2.9568
53,CA-2015-115742,18/04/2015,22/04/2015,DP-13000,FUR-CH-10003061-1-1,252,4,89.99,1,0,17.0981
54,CA-2016-105816,11/12/2016,17/12/2016,JM-15265,OFF-FA-10000304-2-1,55,4,15.26,7,0,6.2566
55,CA-2016-105816,11/12/2016,17/12/2016,JM-15265,TEC-PH-10002447-2-1,55,4,1029.95,5,0,298.6855
56,CA-2016-111682,17/06/2016,18/06/2016,TB-21055,OFF-ST-10000604-1-1,65,1,208.56,6,0,52.14
57,CA-2016-111682,17/06/2016,18/06/2016,TB-21055,OFF-PA-10001569-1-1,65,1,32.4,5,0,15.552
58,CA-2016-111682,17/06/2016,18/06/2016,TB-21055,FUR-CH-10003968-1-1,65,1,319.41,5,0.1,7.098
59,CA-2016-111682,17/06/2016,18/06/2016,TB-21055,OFF-PA-10000587-1-1,65,1,14.56,2,0,6.9888
60,CA-2016-111682,17/06/2016,18/06/2016,TB-21055,TEC-AC-10002167-1-1,65,1,30,2,0,3.3
61,CA-2016-111682,17/06/2016,18/06/2016,TB-21055,OFF-BI-10001460-1-1,65,1,48.48,4,0.2,16.362
62,CA-2016-111682,17/06/2016,18/06/2016,TB-21055,OFF-AR-10001868-1-1,65,1,1.68,1,0,0.84
63,CA-2015-135545,24/11/2015,30/11/2015,KM-16720,TEC-AC-10004633-1-1,515,4,13.98,2,0,6.1512
64,CA-2015-135545,24/11/2015,30/11/2015,KM-16720,OFF-BI-10001078-1-1,515,4,25.824,6,0.2,9.3612
65,CA-2015-135545,24/11/2015,30/11/2015,KM-16720,OFF-PA-10003892-1-1,515,4,146.73,3,0,68.9631
66,CA-2015-135545,24/11/2015,30/11/2015,KM-16720,FUR-FU-10000397-1-1,515,4,79.76,4,0,22.3328
67,US-2015-164175,30/04/2015,05/05/2015,PS-18970,FUR-CH-10001146-3-1,347,4,213.115,5,0.3,-15.2225
68,CA-2014-106376,05/12/2014,10/12/2014,BS-11590,OFF-AR-10002671-2-1,493,4,1113.024,8,0.2,111.3024
69,CA-2014-106376,05/12/2014,10/12/2014,BS-11590,TEC-PH-10002726-2-1,493,4,167.968,4,0.2,62.988
70,CA-2016-119823,04/06/2016,06/06/2016,KD-16270,OFF-PA-10000482-1-1,96,1,75.88,2,0,35.6636
71,CA-2016-106075,18/09/2016,23/09/2016,HM-14980,OFF-BI-10004654-1-1,53,4,4.616,1,0.2,1.731
72,CA-2017-114440,14/09/2017,17/09/2017,TB-21520,OFF-PA-10004675-1-1,278,3,19.05,3,0,8.763
73,US-2015-134026,26/04/2015,02/05/2015,JE-15745,FUR-CH-10000513-1-1,203,4,831.936,8,0.2,-114.3912
74,US-2015-134026,26/04/2015,02/05/2015,JE-15745,FUR-FU-10003708-1-1,203,4,97.04,2,0.2,1.213
75,US-2015-134026,26/04/2015,02/05/2015,JE-15745,OFF-ST-10004123-1-1,203,4,72.784,1,0.2,-18.196
76,US-2017-118038,09/12/2017,11/12/2017,KB-16600,OFF-BI-10004182-2-1,424,1,1.248,3,0.8,-1.9344
77,US-2017-118038,09/12/2017,11/12/2017,KB-16600,FUR-FU-10000260-2-1,424,1,9.708,3,0.6,-5.8248
78,US-2017-118038,09/12/2017,11/12/2017,KB-16600,OFF-ST-10000615-2-1,424,1,27.24,3,0.2,2.724
79,US-2014-147606,26/11/2014,01/12/2014,JE-15745,FUR-FU-10003194-1-1,425,3,19.3,5,0.6,-14.475
80,CA-2016-127208,12/06/2016,15/06/2016,SC-20770,OFF-AP-10002118-2-1,186,1,208.16,1,0,56.2032
81,CA-2016-127208,12/06/2016,15/06/2016,SC-20770,OFF-BI-10002309-2-1,186,1,16.74,3,0,8.0352
82,CA-2014-139451,12/10/2014,16/10/2014,DN-13690,OFF-AR-10002053-1-1,579,4,14.9,5,0,4.172
83,CA-2014-139451,12/10/2014,16/10/2014,DN-13690,OFF-ST-10002370-1-1,579,4,21.39,1,0,6.2031
84,CA-2015-149734,03/09/2015,08/09/2015,JC-16105,OFF-EN-10000927-2-1,117,4,200.984,7,0.2,62.8075
85,US-2017-119662,13/11/2017,16/11/2017,CS-12400,OFF-ST-10003656-3-1,348,1,230.376,3,0.2,-48.9549
86,CA-2017-140088,28/05/2017,30/05/2017,PO-18865,FUR-CH-10000863-1-1,129,3,301.96,2,0,33.2156
87,CA-2017-155558,26/10/2017,02/11/2017,PG-18895,TEC-AC-10001998-1-1,312,4,19.99,1,0,6.7966
88,CA-2017-155558,26/10/2017,02/11/2017,PG-18895,OFF-LA-10000134-1-1,312,4,6.16,2,0,2.9568
89,CA-2016-159695,05/04/2016,10/04/2016,GM-14455,OFF-ST-10003442-3-1,426,3,158.368,7,0.2,13.8572
90,CA-2016-109806,17/09/2016,22/09/2016,JS-15685,OFF-AR-10004930-2-1,518,4,20.1,3,0,6.633
91,CA-2016-109806,17/09/2016,22/09/2016,JS-15685,TEC-PH-10004093-2-1,518,4,73.584,2,0.2,8.2782
92,CA-2016-109806,17/09/2016,22/09/2016,JS-15685,OFF-PA-10000304-2-1,518,4,6.48,1,0,3.1104
93,CA-2015-149587,31/01/2015,05/02/2015,KB-16315,OFF-PA-10003177-1-1,310,3,12.96,2,0,6.2208
94,CA-2015-149587,31/01/2015,05/02/2015,KB-16315,FUR-FU-10003799-1-1,310,3,53.34,3,0,16.5354
95,CA-2015-149587,31/01/2015,05/02/2015,KB-16315,OFF-BI-10002852-1-1,310,3,32.96,2,0,16.1504
96,US-2017-109484,06/11/2017,12/11/2017,RB-19705,OFF-BI-10004738-3-1,606,4,5.682,1,0.7,-3.788
97,CA-2017-161018,09/11/2017,11/11/2017,PN-18775,FUR-FU-10000629-3-1,53,3,96.53,7,0,40.5426
98,CA-2017-157833,17/06/2017,20/06/2017,KD-16345,OFF-BI-10001721-1-1,579,1,51.312,3,0.2,17.9592
99,CA-2016-149223,06/09/2016,11/09/2016,ER-13855,OFF-AP-10000358-2-1,304,4,77.88,6,0,22.5852
100,CA-2016-158568,29/08/2016,02/09/2016,RB-19465,OFF-PA-10003256-3-1,347,4,64.624,7,0.2,22.6184
101,CA-2016-158568,29/08/2016,02/09/2016,RB-19465,TEC-AC-10001767-3-1,347,4,95.976,3,0.2,-10.7973
102,CA-2016-158568,29/08/2016,02/09/2016,RB-19465,OFF-BI-10002609-3-1,347,4,1.788,3,0.8,-3.0396
103,CA-2016-129903,01/12/2016,04/12/2016,GZ-14470,OFF-PA-10004040-1-1,312,3,23.92,4,0,11.7208
104,US-2015-156867,13/11/2015,17/11/2015,LC-16870,TEC-AC-10001552-1-1,458,4,238.896,6,0.2,-26.8758
105,US-2015-156867,13/11/2015,17/11/2015,LC-16870,FUR-FU-10004006-1-1,458,4,102.36,3,0.2,-3.8385
106,US-2015-156867,13/11/2015,17/11/2015,LC-16870,OFF-BI-10002794-1-1,458,4,36.882,3,0.7,-25.8174
107,CA-2017-119004,23/11/2017,28/11/2017,JM-15250,TEC-AC-10003499-1-1,123,4,74.112,8,0.2,17.6016
108,CA-2017-119004,23/11/2017,28/11/2017,JM-15250,TEC-PH-10002844-1-1,123,4,27.992,1,0.2,2.0994
109,CA-2017-119004,23/11/2017,28/11/2017,JM-15250,OFF-AR-10000390-1-1,123,4,3.304,1,0.2,1.0738
110,CA-2015-129476,15/10/2015,20/10/2015,PA-19060,TEC-AC-10000844-3-1,342,4,339.96,5,0.2,67.992
111,CA-2017-146780,25/12/2017,30/12/2017,CV-12805,FUR-FU-10001934-2-1,56,4,41.96,2,0,10.9096
112,CA-2016-128867,03/11/2016,10/11/2016,CL-12565,OFF-AR-10000380-1-1,282,4,75.96,2,0,22.788
113,CA-2016-128867,03/11/2016,10/11/2016,CL-12565,OFF-BI-10003981-1-1,282,4,27.24,6,0,13.3476
114,CA-2014-115259,25/08/2014,27/08/2014,RC-19960,OFF-FA-10000621-1-1,223,3,40.096,14,0.2,14.5348
115,CA-2014-115259,25/08/2014,27/08/2014,RC-19960,OFF-EN-10002600-1-1,223,3,4.72,2,0.2,1.652
116,CA-2014-115259,25/08/2014,27/08/2014,RC-19960,OFF-PA-10004965-1-1,223,3,23.976,3,0.2,7.4925
117,CA-2014-115259,25/08/2014,27/08/2014,RC-19960,OFF-EN-10002504-1-1,223,3,130.464,6,0.2,44.0316
118,CA-2015-110457,02/03/2015,06/03/2015,DK-13090,FUR-TA-10001768-1-1,620,4,787.53,3,0,165.3813
119,US-2015-136476,05/04/2015,10/04/2015,GG-14650,OFF-BI-10003650-2-1,201,4,157.794,1,0.7,-115.7156
120,CA-2016-103730,12/06/2016,15/06/2016,SC-20725,FUR-FU-10002157-1-1,86,1,47.04,3,0,18.3456
121,CA-2016-103730,12/06/2016,15/06/2016,SC-20725,OFF-BI-10003910-1-1,86,1,30.84,4,0,13.878
122,CA-2016-103730,12/06/2016,15/06/2016,SC-20725,OFF-ST-10000777-1-1,86,1,226.56,6,0,63.4368
123,CA-2016-103730,12/06/2016,15/06/2016,SC-20725,OFF-EN-10002500-1-1,86,1,115.02,9,0,51.759
124,CA-2016-103730,12/06/2016,15/06/2016,SC-20725,TEC-PH-10003875-1-1,86,1,68.04,7,0,19.7316
125,US-2014-152030,26/12/2014,28/12/2014,AD-10180,FUR-CH-10004063-3-1,424,3,600.558,3,0.3,-8.5794
126,US-2014-134614,20/09/2014,25/09/2014,PF-19165,FUR-TA-10004534-1-1,353,4,617.7,6,0.5,-407.682
127,US-2017-107272,05/11/2017,12/11/2017,TS-21610,OFF-BI-10003274-1-1,490,4,2.388,2,0.7,-1.8308
128,US-2017-107272,05/11/2017,12/11/2017,TS-21610,OFF-ST-10002974-1-1,490,4,243.992,7,0.2,30.499
129,US-2016-125969,06/11/2016,10/11/2016,LS-16975,FUR-CH-10001146-3-1,515,3,81.424,2,0.2,-9.1602
130,US-2016-125969,06/11/2016,10/11/2016,LS-16975,FUR-FU-10003773-3-1,515,3,238.56,3,0,26.2416
131,US-2017-164147,02/02/2017,05/02/2017,DW-13585,TEC-PH-10002293-2-1,223,1,59.97,5,0.4,-11.994
132,US-2017-164147,02/02/2017,05/02/2017,DW-13585,OFF-PA-10002377-2-1,223,1,78.304,2,0.2,29.364
133,US-2017-164147,02/02/2017,05/02/2017,DW-13585,OFF-FA-10002780-2-1,223,1,21.456,9,0.2,6.9732
134,CA-2016-145583,13/10/2016,19/10/2016,LC-16885,OFF-PA-10001804-1-1,598,4,20.04,3,0,9.6192
135,CA-2016-145583,13/10/2016,19/10/2016,LC-16885,OFF-PA-10001736-1-1,598,4,35.44,1,0,16.6568
136,CA-2016-145583,13/10/2016,19/10/2016,LC-16885,OFF-AR-10001149-1-1,598,4,11.52,4,0,3.456
137,CA-2016-145583,13/10/2016,19/10/2016,LC-16885,OFF-FA-10002988-1-1,598,4,4.02,2,0,1.9698
138,CA-2016-145583,13/10/2016,19/10/2016,LC-16885,OFF-BI-10004781-1-1,598,4,76.176,3,0.2,26.6616
139,CA-2016-145583,13/10/2016,19/10/2016,LC-16885,OFF-SU-10001218-1-1,598,4,65.88,6,0,18.4464
140,CA-2016-145583,13/10/2016,19/10/2016,LC-16885,FUR-FU-10001706-1-1,598,4,43.12,14,0,20.6976
141,CA-2016-110366,05/09/2016,07/09/2016,JD-15895,FUR-FU-10004848-2-1,82,3,82.8,2,0.2,10.35
142,CA-2017-106180,18/09/2017,23/09/2017,SH-19975,OFF-AR-10000940-2-1,579,4,8.82,3,0,2.3814
143,CA-2017-106180,18/09/2017,23/09/2017,SH-19975,OFF-EN-10004030-2-1,579,4,10.86,3,0,5.1042
144,CA-2017-106180,18/09/2017,23/09/2017,SH-19975,OFF-PA-10004327-2-1,579,4,143.7,3,0,68.976
145,CA-2017-155376,22/12/2017,27/12/2017,SG-20080,OFF-AP-10001058-1-1,363,4,839.43,3,0,218.2518
146,CA-2015-110744,07/09/2015,12/09/2015,HA-14920,OFF-ST-10003656-1-1,529,4,671.93,7,0,20.1579
147,CA-2014-110072,22/10/2014,28/10/2014,MG-17680,FUR-FU-10000521-3-1,220,4,93.888,4,0.2,12.9096
148,CA-2016-114489,05/12/2016,09/12/2016,JE-16165,TEC-PH-10000215-2-1,290,4,384.45,11,0,103.8015
149,CA-2016-114489,05/12/2016,09/12/2016,JE-16165,TEC-PH-10001448-2-1,290,4,149.97,3,0,5.9988
150,CA-2016-114489,05/12/2016,09/12/2016,JE-16165,FUR-CH-10000454-2-1,290,4,1951.84,8,0,585.552
151,CA-2016-114489,05/12/2016,09/12/2016,JE-16165,OFF-BI-10002735-2-1,290,4,171.55,5,0,80.6285
152,CA-2016-158834,13/03/2016,16/03/2016,TW-21025,OFF-AP-10000326-3-1,494,1,157.92,5,0.2,17.766
153,CA-2016-158834,13/03/2016,16/03/2016,TW-21025,TEC-PH-10001254-3-1,494,1,203.184,2,0.2,15.2388
154,CA-2015-124919,31/05/2015,02/06/2015,SP-20650,OFF-PA-10001950-2-1,591,1,58.38,7,0,26.271
155,CA-2015-124919,31/05/2015,02/06/2015,SP-20650,OFF-PA-10002254-2-1,591,1,105.52,4,0,48.5392
156,CA-2015-124919,31/05/2015,02/06/2015,SP-20650,OFF-ST-10001590-2-1,591,1,80.88,6,0,21.0288
157,CA-2015-118948,28/05/2015,03/06/2015,NK-18490,OFF-AR-10001547-3-1,621,4,6.63,3,0,1.7901
158,CA-2014-104269,01/03/2014,06/03/2014,DB-13060,FUR-CH-10004063-1-1,622,3,457.568,2,0.2,51.4764
159,CA-2016-114104,20/11/2016,24/11/2016,NP-18670,OFF-LA-10002475-1-1,391,4,14.62,2,0,6.8714
160,CA-2016-114104,20/11/2016,24/11/2016,NP-18670,TEC-PH-10004536-1-1,391,4,944.93,7,0,236.2325
161,CA-2016-162733,11/05/2016,12/05/2016,TT-21070,OFF-PA-10002751-1-1,519,1,5.98,1,0,2.691
162,CA-2015-119697,28/12/2015,31/12/2015,EM-13960,TEC-AC-10003657-1-1,81,3,54.384,2,0.2,1.3596
163,CA-2016-154508,16/11/2016,20/11/2016,RD-19900,OFF-EN-10001990-1-1,509,4,28.4,5,0,13.348
164,CA-2016-113817,07/11/2016,11/11/2016,MJ-17740,OFF-BI-10004002-1-1,622,4,27.68,2,0.2,9.688
165,CA-2014-139892,08/09/2014,12/09/2014,BM-11140,OFF-AR-10004441-1-1,442,4,9.936,3,0.2,2.7324
166,CA-2014-139892,08/09/2014,12/09/2014,BM-11140,TEC-MA-10000822-1-1,442,4,8159.952,8,0.4,-1359.992
167,CA-2014-139892,08/09/2014,12/09/2014,BM-11140,OFF-ST-10000991-1-1,442,4,275.928,3,0.2,-58.6347
168,CA-2014-139892,08/09/2014,12/09/2014,BM-11140,FUR-CH-10004287-1-1,442,4,1740.06,9,0.3,-24.858
169,CA-2014-139892,08/09/2014,12/09/2014,BM-11140,OFF-AR-10002656-1-1,442,4,32.064,6,0.2,6.8136
170,CA-2014-139892,08/09/2014,12/09/2014,BM-11140,OFF-AP-10002518-1-1,442,4,177.98,5,0.8,-453.849
171,CA-2014-139892,08/09/2014,12/09/2014,BM-11140,TEC-PH-10003931-1-1,442,4,143.976,3,0.2,8.9985
172,CA-2014-118962,05/08/2014,09/08/2014,CS-12130,OFF-PA-10000659-1-1,515,4,20.94,3,0,9.8418
173,CA-2014-118962,05/08/2014,09/08/2014,CS-12130,OFF-PA-10001144-1-1,515,4,110.96,2,0,53.2608
174,CA-2014-118962,05/08/2014,09/08/2014,CS-12130,FUR-CH-10003817-1-1,515,4,340.144,7,0.2,21.259
175,US-2014-100853,14/09/2014,19/09/2014,JB-15400,OFF-AP-10000891-2-1,348,4,52.448,2,0.8,-131.12
176,US-2014-100853,14/09/2014,19/09/2014,JB-15400,OFF-LA-10003148-2-1,348,4,20.16,4,0.2,6.552
177,US-2017-152366,21/04/2017,25/04/2017,SJ-20500,OFF-AP-10002684-1-1,423,3,97.264,4,0.8,-243.16
178,US-2015-101511,21/11/2015,23/11/2015,JE-15745,FUR-CH-10004698-1-1,220,3,396.802,7,0.3,-11.3372
179,US-2015-101511,21/11/2015,23/11/2015,JE-15745,OFF-SU-10002189-1-1,220,3,15.88,5,0.2,-3.7715
180,CA-2015-137225,15/12/2015,19/12/2015,JK-15640,OFF-AR-10001940-3-1,53,4,3.28,1,0,1.4104
181,CA-2014-166191,05/12/2014,09/12/2014,DK-13150,OFF-ST-10003455-2-1,358,3,24.816,2,0.2,1.8612
182,CA-2014-166191,05/12/2014,09/12/2014,DK-13150,TEC-AC-10004659-2-1,358,3,408.744,7,0.2,76.6395
183,CA-2014-158274,19/11/2014,24/11/2014,RM-19675,TEC-PH-10003273-3-1,381,3,503.96,4,0,131.0296
184,CA-2014-158274,19/11/2014,24/11/2014,RM-19675,TEC-PH-10004896-3-1,381,3,149.95,5,0,41.986
185,CA-2014-158274,19/11/2014,24/11/2014,RM-19675,TEC-AC-10002345-3-1,381,3,29,2,0,7.25
186,CA-2016-105018,28/11/2016,02/12/2016,SK-19990,OFF-BI-10001890-1-1,34,4,7.16,2,0,3.4368
187,CA-2014-123260,26/08/2014,30/08/2014,FM-14290,TEC-AC-10002323-3-1,517,4,176.8,8,0,22.984
188,CA-2016-157000,16/07/2016,22/07/2016,AM-10360,OFF-ST-10001328-2-1,404,4,37.224,3,0.2,3.7224
189,CA-2016-157000,16/07/2016,22/07/2016,AM-10360,OFF-PA-10001950-2-1,404,4,20.016,3,0.2,6.255
190,CA-2015-102281,12/10/2015,14/10/2015,MP-17470,FUR-BO-10002613-3-1,56,1,899.136,4,0.2,112.392
191,CA-2015-102281,12/10/2015,14/10/2015,MP-17470,TEC-PH-10001552-3-1,56,1,71.76,6,0,20.0928
192,CA-2015-102281,12/10/2015,14/10/2015,MP-17470,OFF-PA-10000061-3-1,56,1,51.84,8,0,24.8832
193,CA-2015-102281,12/10/2015,14/10/2015,MP-17470,FUR-BO-10002545-3-1,56,1,626.352,3,0.2,46.9764
194,CA-2015-102281,12/10/2015,14/10/2015,MP-17470,OFF-AR-10003514-3-1,56,1,19.9,5,0,6.567
195,CA-2015-131457,31/10/2015,06/11/2015,MZ-17515,OFF-EN-10001509-2-1,548,4,14.28,7,0,6.7116
196,CA-2014-140004,21/03/2014,25/03/2014,CB-12025,OFF-AR-10004685-1-1,237,4,7.408,2,0.2,1.2038
197,CA-2014-140004,21/03/2014,25/03/2014,CB-12025,OFF-AR-10004027-1-1,237,4,6.048,3,0.2,1.5876
198,CA-2017-107720,06/11/2017,13/11/2017,VM-21685,OFF-ST-10001414-3-1,42,4,46.26,3,0,12.0276
199,US-2017-124303,06/07/2017,13/07/2017,FH-14365,OFF-BI-10000343-2-1,80,4,2.946,2,0.7,-2.2586
200,US-2017-124303,06/07/2017,13/07/2017,FH-14365,OFF-PA-10002749-2-1,80,4,16.056,3,0.2,5.8203
201,CA-2017-105074,24/06/2017,29/06/2017,MB-17305,OFF-PA-10002666-1-1,236,4,21.744,3,0.2,6.795
202,CA-2014-133690,03/08/2014,05/08/2014,BS-11755,FUR-TA-10004289-1-1,465,1,218.75,2,0.5,-161.875
203,CA-2014-133690,03/08/2014,05/08/2014,BS-11755,OFF-AP-10003622-1-1,465,1,2.6,1,0.2,0.2925
204,US-2017-116701,17/12/2017,21/12/2017,LC-17140,OFF-AP-10003217-1-1,412,3,66.284,2,0.8,-178.9668
205,CA-2017-126382,03/06/2017,07/06/2017,HK-14890,FUR-FU-10002960-2-1,193,4,35.168,7,0.2,9.6712
206,CA-2017-108329,09/12/2017,14/12/2017,LE-16810,TEC-PH-10001918-1-1,524,4,444.768,4,0.2,44.4768
207,CA-2017-135860,01/12/2017,07/12/2017,JH-15985,OFF-ST-10000642-1-1,274,4,83.92,4,0,5.8744
208,CA-2017-135860,01/12/2017,07/12/2017,JH-15985,TEC-PH-10001700-1-1,274,4,131.98,2,0,35.6346
209,CA-2017-135860,01/12/2017,07/12/2017,JH-15985,OFF-BI-10003274-1-1,274,4,15.92,4,0,7.4824
210,CA-2017-135860,01/12/2017,07/12/2017,JH-15985,OFF-FA-10000134-1-1,274,4,52.29,9,0,16.2099
211,CA-2017-135860,01/12/2017,07/12/2017,JH-15985,OFF-ST-10001522-1-1,274,4,91.99,1,0,3.6796
212,CA-2015-101007,09/02/2015,13/02/2015,MS-17980,TEC-AC-10001266-2-1,412,3,20.8,2,0.2,6.5
213,CA-2015-146262,02/01/2015,09/01/2015,VW-21775,OFF-LA-10004544-2-1,235,4,23.68,2,0.2,8.88
214,CA-2015-146262,02/01/2015,09/01/2015,VW-21775,FUR-BO-10004695-2-1,235,4,452.45,5,0.5,-244.323
215,CA-2015-146262,02/01/2015,09/01/2015,VW-21775,TEC-PH-10002844-2-1,235,4,62.982,3,0.4,-14.6958
216,CA-2015-146262,02/01/2015,09/01/2015,VW-21775,TEC-MA-10000864-2-1,235,4,1188,9,0.7,-950.4
217,CA-2015-146262,02/01/2015,09/01/2015,VW-21775,TEC-AC-10000109-2-1,235,4,89.584,2,0.2,4.4792
